1reg_Pseudomonassyringae_A0A1G9XRC0_PSESX	Pseudo
1reg_Pseudomonasamygdali_A0A0P9I4G2_PSEA0	Pseudo
1reg_PseudomonassavastanoiPseudomonassyringaepvsavastanoi_A0A3M5JX15_PSESS	Pseudo
1reg_PseudomonassavastanoiPseudomonassyringaepvsavastanoi_A0A3M5AYT0_PSESS	Pseudo
1reg_PseudomonassavastanoipvphaseolicolaPseudomonassyringaepvphaseolicola_A0A3M3TKV5_PSESH	Pseudo
1reg_Pseudomonassavastanoipvphaseolicolastrain1448ARace6Pseudomonassyringaepvphaseolicolastrain1448ARace6_Q48CG4_PSE14	Pseudo
1reg_PseudomonassavastanoipvglycineaPseudomonassyringaepvglycinea_A0A3M3V7U7_PSESG	Pseudo
1reg_PseudomonassavastanoipvglycineaPseudomonassyringaepvglycinea_A0A3M5RTI8_PSESG	Pseudo
1reg_PseudomonassavastanoipvglycineaPseudomonassyringaepvglycinea_A0A0P9VE53_PSESG	Pseudo
1reg_PseudomonassavastanoipvglycineaPseudomonassyringaepvglycinea_A0A3M5VGH7_PSESG	Pseudo
1reg_Pseudomonassyringaepvaceris_A0A3M5BB31_PSESX	Pseudo
1reg_Pseudomonassyringaepvatrofaciens_A0A3M2VA94_PSESX	Pseudo
1reg_Pseudomonassyringaepvaptata_A0A3M3E4S2_PSEAP	Pseudo
1reg_Pseudomonassyringaepvaceris_A0A0P9JQZ3_PSESX	Pseudo
1reg_PseudomonasspNP285_A0A2V3QBW4_9PSED	Pseudo
1reg_PseudomonasspNP103_A0A326SRZ8_9PSED	Pseudo
1reg_PseudomonassyringaepvsyringaestrainB728a_Q4ZLZ0_PSEU2	Pseudo
1reg_Pseudomonassyringaepvsyringae_A0A2V4Q7E5_PSESY	Pseudo
1reg_Pseudomonassyringaepvapii_A0A3M5WGU7_9PSED	Pseudo
1reg_Pseudomonassyringae_A0A1I5HJ64_PSESX	Pseudo
1reg_Pseudomonassyringaepvsyringae_A0A3M2YD33_PSESY	Pseudo
1reg_Pseudomonassyringaepvatrofaciens_A0A3M4EYF4_PSESX	Pseudo
1reg_Pseudomonassyringaepvaptata_A0A3M5WV15_PSEAP	Pseudo
1reg_Pseudomonassyringaepvaptata_A0A3M3X7U6_PSEAP	Pseudo
1reg_PseudomonassyringaepvsyringaeSM_S3N3J5_PSESY	Pseudo
1reg_Pseudomonasamygdalipvmori_A0A3M4LHM5_PSEA0	Pseudo
1reg_Pseudomonassyringaepvhelianthi_A0A3M6CH50_9PSED	Pseudo
1reg_Pseudomonasamygdalipvmyricae_A0A3M5L9M1_PSEA0	Pseudo
1reg_PseudomonassavastanoiPseudomonassyringaepvsavastanoi_A0A3M5G9F2_PSESS	Pseudo
1reg_Pseudomonasmeliae_A0A0N8S2A5_9PSED	Pseudo
1reg_Pseudomonasviridiflava_A0A3M4P5M9_PSEVI	Pseudo
1reg_Pseudomonassyringaepvpersicae_A0A3M4APH4_9PSED	Pseudo
1reg_Pseudomonasamygdalipvdendropanacis_A0A0P9QP73_PSEA0	Pseudo
1reg_Pseudomonasamygdalipveriobotryae_A0A3M3AHJ8_PSEA0	Pseudo
1reg_Pseudomonasamygdalipvmorsprunorum_A0A3M3ZHH2_PSEA0	Pseudo
1reg_Pseudomonassavastanoipvsavastanoi_A0A3M2YUB3_PSESS	Pseudo
1reg_Pseudomonasamygdalipvciccaronei_A0A0P9L0R4_PSEA0	Pseudo
