short_A0A3E0U418_9GAMM	shor
short_A0A327QSX4_9BACT	shor
short_C7PSB6_CHIPD	shor
short_C5BAE4_EDWI9	shor
short_A0A1A8TH49_9GAMM	shor
short_A0A1M5Y4M8_9VIBR	shor
short_A0A1B1EBY8_VIBNA	shor
short_A0A014PVM6_9GAMM	shor
short_A0A071M1M1_9ENTR	shor
short_A5UTV3_ROSS1	shor
short_F9U9K8_9GAMM	shor
short_A0A2D0MYK6_9BACT	shor
short_A0A0M7AZ40_9RHOB	shor
short_A0A3D8JXF3_9BURK	shor
short_A0A1H7YKC1_9BACT	shor
short_A0A243WHU5_9BACT	shor
short_L0A4R5_DEIPD	shor
short_A0A1T5P8H7_9BACT	shor
short_G7ZFI2_AZOL4	shor
short_A0A162WK52_9FLAO	shor
short_A0A1K1LNB9_9BACT	shor
short_A0A1V9FQC1_9BACT	shor
short_A0A1H3CB48_9BACT	shor
short_A0A1V9GD02_9BACT	shor
short_A0A3M9N8V5_9BACT	shor
short_A0A1D7QMR8_9SPHI	shor
short_A0A0C5KW01_9SPHN	shor
short_A0A2S2CZK8_9PROT	shor
short_A0A1I5YQA9_9BACT	shor
short_A0A1H2BJU7_9SPHI	shor
short_H8KU93_SOLCM	shor
short_A0A368JE74_9BACT	shor
short_A0A1P9WYV3_9BACT	shor
short_A0A3B7MJJ3_9BACT	shor
short_A0A1M7JVE9_9BACT	shor
short_A0A2P8HF13_9BACT	shor
short_A0A2W2B089_9BACT	shor
short_A0A2P8D866_9BACT	shor
short_A0A1H7QF97_9BACT	shor
short_A0A1T5KRI6_9BACT	shor
short_A0A1G6WP49_9SPHI	shor
short_A0A1G8DYC2_9SPHI	shor
short_X5DDB3_9BACT	shor
short_A0A1H0A348_9PSED	shor
short_A0A024HHJ8_PSEKB	shor
short_Q8YRX3_NOSS1	shor
short_A0A3N4Q126_9BACT	shor
short_K9SID2_9CYAN	shor
short_A0A2A2TH54_9CYAN	shor
short_A0A0T7BRA9_9CYAN	shor
short_K9UUE9_9CYAN	shor
short_A0A399D1J1_9BACT	shor
short_A0A249SX88_9BACT	shor
